filename,product_name,description
I62-opi-red-gel-pictures_a2876b61-5d16-4e4d-852c-68faa9de0975.jpg,OPI Nail Lacquer,I62 One Heckla of a Color! - 0.5oz by OPI sold by DTK Nail Supply
F91-opi-soak-off-gel-polish-colors-pictures.jpg,OPI Nail Lacquer,F91 Exotic Birds Do Not Tweet - 0.5oz by OPI sold by DTK Nail Supply
B86-opi-gel-polish-set-pictures_e90b22dc-6f3a-485c-bdae-071da0c5fd41.jpg,OPI Nail Lacquer,B86 Shorts Story - 0.5oz by OPI sold by DTK Nail Supply
HeartandCon-soul.jpg,OPI Nail Lacquer,D55 Heart and Con-soul - 0.5oz by OPI sold by DTK Nail Supply
W59-opi-3-in-1-pictures_19879ea4-06b2-436d-bfd4-16c9b7cd8ea2.jpg,OPI Nail Lacquer,W59 Freedom of Peach - 0.5oz by OPI sold by DTK Nail Supply
D56ThePassisAlwaysGreener_6.jpg,OPI Nail Lacquer,D56 The Pass is Always Greener - 0.5oz by OPI sold by DTK Nail Supply
N62-opi-shellac-nail-colours-pictures.jpg,OPI Nail Lacquer,N62 Show Us You Tips! - 0.5oz by OPI sold by DTK Nail Supply
Taurus-tMe15ml_NLH015.jpg,OPI Nail Lacquer,H015 Taurus-t Me - 0.5oz by OPI sold by DTK Nail Supply
L18-opi-purple-gel-colors-pictures.jpg,OPI Nail Lacquer,L18 Tagus in That Selfie! - 0.5oz by OPI sold by DTK Nail Supply
stay-out-all-bright-nlp008-nail-lacquer.jpg,OPI Nail Lacquer,P008 Stay Out All Bright - 0.5oz by OPI sold by DTK Nail Supply
M89-opi-gel-polish-color-chart-pictures.jpg,OPI Nail Lacquer,M89 My Chihuahua Doesn’t Bite Anymore - 0.5oz by OPI sold by DTK Nail Supply
R44-gel-nail-polish-led-light-kit-pictures.jpg,OPI Nail Lacquer,R44 Princesses Rule! - 0.5oz by OPI sold by DTK Nail Supply
V33-opi-varnish-pictures_acc427f9-b911-4dcb-b7cd-11f226191aa9.jpg,OPI Nail Lacquer,V33 Gelato on My Mind - 0.5oz by OPI sold by DTK Nail Supply
22Buttafly_4.jpg,OPI Nail Lacquer,NLS022 Buttafly - 0.5oz by OPI sold by DTK Nail Supply
